anzsco_code,occupation,description
4115,Indigenous Health Workers,Indigenous Health Workers assist with the coordination and provision of health care delivery to Indigenous communities. Note data does not include 411512 Kaiówhina (Hauora) (Móori Health Assistant).
4116,Massage Therapists,"Massage Therapists perform therapeutic massage and administer body treatments for health, fitness and remedial purposes."
4117,Welfare Support Workers,"Welfare Support Workers provide support, information and advice to clients on emotional, financial, recreational, health, housing and other social welfare matters, and evaluate and coordinate the services of welfare and community service agencies."
4211,Child Carers,Child Carers provide care and supervision for children in residential homes and non-residential childcare centres.
4221,Education Aides,"Education Aides perform non-teaching duties to assist teaching staff in schools, provide care and supervision for children in preschools, and provide assistance to Aboriginal, Torres Strait Islander and Maori students and their teachers. Note data does not include 422113 Kaiówhina Kohanga Reo (Móori Language Nest Assistant) and 422114 Kaiówhina Kura Kaupapa Móori (Móori-medium School Assistant)."
4231,Aged and Disabled Carers,"Aged and Disabled Carers provide general household assistance, emotional support, care and companionship for aged and disabled persons in their own homes."
4232,Dental Assistants,"Dental Assistants prepare patients for dental examination and assist Dental Practitioners, Hygienists and Therapists in providing care and treatment."
4233,Nursing Support and Personal Care Workers,"Nursing Support and Personal Care Workers provide assistance, support and direct care to patients in a variety of health, welfare and community settings."
4234,Special Care Workers,"Special Care Workers provide care and supervision for children and young people in residential and institutional facilities, and provide care and support to people in refuges."
4311,Bar Attendants and Baristas,"Bar Attendants and Baristas prepare, mix and serve alcoholic and non-alcoholic drinks to patrons in bars in licensed establishments, and prepare and serve espresso coffee and other hot beverages to patrons in cafes, coffee shops and dining establishments."
4312,Cafe Workers,Cafe Workers sell and serve food and beverages for consumption on premises in cafes and similar establishments.
